module name,licenses,repository,licenseUrl,parents
react-stripe-elements,MIT,https://github.com/stripe/react-stripe-elements,https://github.com/stripe/react-stripe-elements/raw/master/LICENSE,boards-webfront
react-svg-pan-zoom,MIT,https://github.com/chrvadala/react-svg-pan-zoom,https://github.com/chrvadala/react-svg-pan-zoom/raw/master/LICENSE,boards-webfront
react-swipeable-views,MIT,https://github.com/oliviertassinari/react-swipeable-views,https://github.com/oliviertassinari/react-swipeable-views/raw/master/LICENSE,boards-webfront
react-virtualized,MIT,https://github.com/bvaughn/react-virtualized,https://github.com/bvaughn/react-virtualized/raw/master/LICENSE,boards-webfront
react,MIT,https://github.com/facebook/react,https://github.com/facebook/react/raw/master/LICENSE,boards-webfront
recharts,MIT,https://github.com/recharts/recharts,https://github.com/recharts/recharts/raw/master/LICENSE,boards-webfront
redux-thunk,MIT,github:reduxjs/redux-thunk,github:reduxjs/redux-thunk,boards-webfront
redux,MIT,github:reduxjs/redux,github:reduxjs/redux,boards-webfront
request-ip,MIT,https://github.com/pbojinov/request-ip,https://github.com/pbojinov/request-ip/raw/master/LICENSE.md,boards-core
reselect,MIT,https://github.com/reduxjs/reselect,https://github.com/reduxjs/reselect/raw/master/LICENSE,boards-webfront
rimraf,ISC,https://github.com/isaacs/rimraf,https://github.com/isaacs/rimraf/raw/master/LICENSE,user-service
rtf-stream-parser,MIT,https://github.com/mazira/rtf-stream-parser,https://github.com/mazira/rtf-stream-parser/raw/master/LICENSE,boards-core
sanitize-html,MIT,https://github.com/apostrophecms/sanitize-html,https://github.com/apostrophecms/sanitize-html/raw/master/LICENSE,boards-app
sass,MIT,https://github.com/sass/dart-sass,https://github.com/sass/dart-sass/raw/master/LICENSE,boards-webfront
scroll-behavior-polyfill,MIT,https://github.com/wessberg/scroll-behavior-polyfill,https://github.com/wessberg/scroll-behavior-polyfill/raw/master/LICENSE.md,boards-webfront
showdown,BSD-3-Clause,https://github.com/showdownjs/showdown,https://github.com/showdownjs/showdown/raw/master/license.txt,provider-service
socket.io-client,MIT,https://github.com/socketio/socket.io-client,https://github.com/socketio/socket.io-client/raw/master/LICENSE,boards-webfront
socket.io,MIT,https://github.com/socketio/socket.io,https://github.com/socketio/socket.io/raw/master/LICENSE,boards-core
stripe,MIT,https://github.com/stripe/stripe-node,https://github.com/stripe/stripe-node/raw/master/LICENSE,licence-service
striptags,MIT,https://github.com/ericnorris/striptags,https://github.com/ericnorris/striptags/raw/master/LICENSE,provider-service
suneditor,MIT,https://github.com/JiHong88/SunEditor,https://github.com/JiHong88/SunEditor/raw/master/LICENSE.txt,boards-webfront
tinycolor2,MIT,https://github.com/bgrins/TinyColor,https://github.com/bgrins/TinyColor/raw/master/LICENSE,boards-webfront
uuid,MIT,https://github.com/uuidjs/uuid,https://github.com/uuidjs/uuid/raw/master/LICENSE.md,user-service
xlsx,Apache-2.0,https://github.com/SheetJS/sheetjs,https://github.com/SheetJS/sheetjs/raw/master/LICENSE,boards-webfront
xml2js,MIT,https://github.com/Leonidas-from-XIV/node-xml2js,https://github.com/Leonidas-from-XIV/node-xml2js/raw/master/LICENSE,provider-service
zod,MIT,https://github.com/colinhacks/zod,https://github.com/colinhacks/zod/raw/master/LICENSE,provider-service
colors,MIT,http://github.com/Marak/colors.js,http://github.com/Marak/colors.js/raw/master/LICENSE,@huddo/utils
dotenv,BSD-2-Clause,https://github.com/motdotla/dotenv,https://github.com/motdotla/dotenv/raw/master/LICENSE,@huddo/utils
ioredis,MIT,https://github.com/luin/ioredis,https://github.com/luin/ioredis/raw/master/LICENSE,@huddo/utils
mime,MIT,https://github.com/broofa/mime,https://github.com/broofa/mime/raw/master/LICENSE,@huddo/utils
minio,Apache-2.0,https://github.com/minio/minio-js,https://github.com/minio/minio-js/raw/master/LICENSE,@huddo/utils
nanoid,MIT,https://github.com/ai/nanoid,https://github.com/ai/nanoid/raw/master/LICENSE,@huddo/utils
node-fetch,MIT,https://github.com/bitinn/node-fetch,https://github.com/bitinn/node-fetch/raw/master/LICENSE.md,@huddo/utils
object-hash,MIT,https://github.com/puleos/object-hash,https://github.com/puleos/object-hash/raw/master/LICENSE,@huddo/utils
redis-lock,MIT*,https://github.com/errorception/redis-lock,https://github.com/errorception/redis-lock/raw/master/README.md,@huddo/utils
timestring,MIT,https://github.com/mike182uk/timestring,https://github.com/mike182uk/timestring/raw/master/LICENSE,@huddo/utils
